evidence_index,evidence_id,original_filename,repository_path,sha256,description
1,P4-SETUP-001,Screenshot 2026-07-30 103643.png,screenshots/01-safety-and-baseline/P4-SETUP-001.png,a4c86a336f14cb346583776ff04bda7b80c6edebd98e670b8f4836bc8ed3a314,VirtualBox snapshot evidence for an authorized lab VM before testing.
2,P4-SETUP-002,Screenshot 2026-07-30 103659.png,screenshots/01-safety-and-baseline/P4-SETUP-002.png,82e8fc16d06628c4b40be76dbe0a21a526c103be0eb67fac82e2d8c72108bd10,VirtualBox snapshot evidence for an authorized lab VM before testing.
3,P4-SETUP-003,Screenshot 2026-07-30 103704.png,screenshots/01-safety-and-baseline/P4-SETUP-003.png,b360489efb1d509316ee1d4d6e6b705a4e213510559f06625b98382a0d39232f,VirtualBox snapshot evidence for an authorized lab VM before testing.
4,P4-SETUP-004,Screenshot 2026-07-30 105149.png,screenshots/01-safety-and-baseline/P4-SETUP-004.png,736725eb267db8c8e80eb0da905c311dab0a5649a9d6324aa853355ab3a257db,Windows endpoint hostname and IP configuration baseline.
5,P4-SETUP-005,Screenshot 2026-07-30 105747.png,screenshots/01-safety-and-baseline/P4-SETUP-005.png,4dfb991ed557a715e10633fcbe398bbf1aa28696beee4c838f2a2342ebd3b0d2,Wazuh agent service running on WIN-ENDPOINT.
6,P4-SETUP-006,Screenshot 2026-07-30 105800.png,screenshots/01-safety-and-baseline/P4-SETUP-006.png,d367067a4a7f43bd44cd548b4c5b685e22a91874115d866a1da4620a696591ae,Sysmon service running on WIN-ENDPOINT.
7,P4-SETUP-007,Screenshot 2026-07-30 105812.png,screenshots/01-safety-and-baseline/P4-SETUP-007.png,12202aa8bdddf22ad826b25328729d7a8336cf9472655568614bcf69b24125f8,Microsoft Defender antivirus and real-time protection status.
8,P4-SETUP-008,Screenshot 2026-07-30 110702.png,screenshots/01-safety-and-baseline/P4-SETUP-008.png,39f7e27cdb373bfa60770f01ae05bfe61de3007a548565dab5e233960b301d30,Wazuh event-channel configuration for Sysmon and Windows Defender logs.
9,P4-SETUP-009,Screenshot 2026-07-30 154740.png,screenshots/01-safety-and-baseline/P4-SETUP-009.png,734be5e82a7104fd3fb588195807ac482b7873a84ec0cc46e1643a24e4118927,Supporting screenshot from the 01 safety and baseline test sequence.
10,P4-SETUP-010,Screenshot 2026-07-30 154922.png,screenshots/01-safety-and-baseline/P4-SETUP-010.png,81e5f635d6fdbe88044a6b2594c697d880ccaf921b5db993f747da982b340057,LimaCharlie sensor service running on WIN-ENDPOINT.
